entry_date,exit_date,expiry_date,strike,contracts,premium_collected,exit_value,pnl_per_share,pnl_total_inr,exit_reason,vrp_at_entry,sigma_at_entry
2008-05-09,2008-05-14,2008-05-15,5000.0,1,128.94622224838213,49.255777974758075,79.69044427362405,5976.783320521804,planned exit (T-1),0.1,0.20957105242942117
2008-05-23,2008-05-28,2008-05-29,4950.0,1,128.86862370705467,54.220341645022245,74.64828206203242,5598.621154652432,planned exit (T-1),0.05,0.21164039834568485
2008-05-30,2008-06-04,2008-06-05,4850.0,1,124.78901400240966,263.2457668927189,-138.45675289030925,-10384.256466773193,TRIPWIRE FIRED: mark 263.2 >= stop 187.2,0.1,0.2055574748494058
2009-09-17,2009-09-23,2009-09-24,4950.0,1,120.81264767962375,40.75778938175608,80.05485829786767,6004.114372340075,planned exit (T-1),0.1,0.18111861038640392
2009-09-24,2009-09-30,2009-10-01,5000.0,1,108.34187750321598,86.95494414804762,21.386933355168367,1604.0200016376275,planned exit (T-1),0.1,0.16318801989221168
2009-10-01,2009-10-07,2009-10-08,5100.0,1,106.88194213707675,113.41556290743766,-6.533620770360912,-490.0215577770684,planned exit (T-1),0.1,0.15769951937302515
2009-10-08,2009-10-14,2009-10-15,5000.0,1,107.18042756367322,119.6996456970437,-12.519218133370487,-938.9413600027865,planned exit (T-1),0.1,0.1607985407062152
2009-10-16,2009-10-21,2009-10-22,5150.0,1,111.37994701198204,86.77394225193589,24.606004760046147,1845.450357003461,planned exit (T-1),0.1,0.17592857533732786
2009-10-23,2009-10-28,2009-10-29,5000.0,1,109.2254996972265,172.6854832941447,-63.45998359691819,-4759.498769768865,TRIPWIRE FIRED: mark 172.7 >= stop 163.8,0.1,0.1775363197025282
2009-10-29,2009-11-04,2009-11-05,4750.0,1,128.09635059273887,63.28626271100711,64.81008788173176,4860.7565911298825,planned exit (T-1),0.1,0.20267845688147498
2009-12-04,2009-12-09,2009-12-10,5100.0,1,132.76541321552577,50.23587387715588,82.52953933836989,6189.715450377742,planned exit (T-1),0.1,0.21041829870226988
2009-12-11,2009-12-16,2009-12-17,5100.0,1,118.5619199411658,65.1177155091641,53.4442044320017,4008.3153324001273,planned exit (T-1),0.1,0.18603547826848596
2009-12-18,2009-12-23,2009-12-24,5000.0,1,113.91475417076617,146.21625703304926,-32.30150286228309,-2422.6127146712315,planned exit (T-1),0.1,0.1852977912385464
2009-12-31,2010-01-06,2010-01-07,5200.0,1,126.3673857905369,85.55511226320505,40.812273527331854,3060.920514549889,planned exit (T-1),0.1,0.18254058170092702
2010-01-08,2010-01-13,2010-01-14,5250.0,1,110.35370769387055,40.4635964537124,69.89011124015815,5241.758343011861,planned exit (T-1),0.1,0.17092085409924573
2010-01-15,2010-01-20,2010-01-21,5250.0,1,104.28614002123368,43.20654984236853,61.079590178865146,4580.969263414886,planned exit (T-1),0.1,0.1609841595967721
2010-01-21,2010-01-27,2010-01-28,5100.0,1,121.49625726183876,245.6858685767259,-124.18961131488714,-9314.220848616536,TRIPWIRE FIRED: mark 245.7 >= stop 182.2,0.1,0.17937660015126672
2010-01-29,2010-02-03,2010-02-04,4900.0,1,105.41287087738647,52.080428632916664,53.3324422444698,3999.933168335235,planned exit (T-1),0.1,0.1745831780225585
2010-02-06,2010-02-10,2010-02-11,4750.0,1,113.88443606429837,49.69607298935898,64.18836307493939,4814.127230620454,planned exit (T-1),0.05,0.2124249493278288
2010-02-25,2010-03-03,2010-03-04,4850.0,1,126.28928630542987,239.25623281444769,-112.96694650901782,-8472.520988176337,TRIPWIRE FIRED: mark 239.3 >= stop 189.4,0.1,0.19453712961658448
2010-03-05,2010-03-10,2010-03-11,5100.0,1,122.28929138916374,35.58289697074224,86.7063944184215,6502.979581381613,planned exit (T-1),0.1,0.19505706047921664
2010-03-12,2010-03-17,2010-03-18,5150.0,1,92.25697073792708,83.52463908761729,8.732331650309789,654.9248737732341,planned exit (T-1),0.15,0.14562158079660759
2010-03-18,2010-03-23,2010-03-25,5250.0,1,91.4878588610436,44.35226120073594,47.13559766030767,3535.169824523075,planned exit (T-1),0.15,0.13109892889409652
2010-03-26,2010-03-31,2010-04-01,5300.0,1,82.22982881333746,52.67136092102413,29.55846789231333,2216.8850919234997,planned exit (T-1),0.15,0.12567609488043896
2010-04-01,2010-04-07,2010-04-08,5300.0,1,77.99992497255198,76.12700683431285,1.872918138239129,140.46886036793467,planned exit (T-1),0.15,0.1108605033138564
2010-04-08,2010-04-13,2010-04-15,5300.0,1,89.41003031896344,48.10340852650006,41.306621792463375,3097.996634434753,planned exit (T-1),0.15,0.12601792722819524
2010-04-16,2010-04-21,2010-04-22,5250.0,1,91.71440052543176,31.664371948199005,60.05002857723275,4503.752143292457,planned exit (T-1),0.15,0.13963206203937162
2010-04-23,2010-04-28,2010-04-29,5300.0,1,86.78017835537412,84.10343497657169,2.6767433788024277,200.75575341018208,planned exit (T-1),0.15,0.13227000022843863
2010-04-30,2010-05-04,2010-05-06,5300.0,1,97.25255351615942,149.4467622687814,-52.19420875262199,-3914.565656446649,TRIPWIRE FIRED: mark 149.4 >= stop 145.9,0.15,0.14840842638755633
2010-05-07,2010-05-10,2010-05-13,5000.0,1,96.3219031012527,199.10443306654452,-102.78252996529181,-7708.689747396886,TRIPWIRE FIRED: mark 199.1 >= stop 144.5,0.15,0.15284028714249506
2010-05-14,2010-05-19,2010-05-20,5100.0,1,129.1781586506345,179.25837501324517,-50.080216362610685,-3756.0162271958015,planned exit (T-1),0.1,0.20601738928570154
2010-05-21,2010-05-26,2010-05-27,4950.0,1,132.33789201652826,64.76742687068804,67.57046514584022,5067.7848859380165,planned exit (T-1),0.05,0.21718147613971436
2010-06-25,2010-06-30,2010-07-01,5250.0,1,130.12171921464233,70.95813630200155,59.16358291264078,4437.268718448058,planned exit (T-1),0.1,0.19840750948246785
2010-07-02,2010-07-07,2010-07-08,5250.0,1,117.44546192686767,39.70069093035909,77.74477099650858,5830.857824738143,planned exit (T-1),0.1,0.18193954397006845
2010-07-09,2010-07-14,2010-07-15,5350.0,1,106.78873116252635,48.813954671962165,57.97477649056418,4348.108236792314,planned exit (T-1),0.1,0.16174841080206515
2010-07-16,2010-07-21,2010-07-22,5400.0,1,104.98008930994547,33.58116463996839,71.39892466997708,5354.919350248281,planned exit (T-1),0.15,0.15809994042195127
2010-07-23,2010-07-28,2010-07-29,5450.0,1,97.3423850096683,53.61978262015384,43.72260238951446,3279.1951792135847,planned exit (T-1),0.15,0.14496163949858812
2010-07-30,2010-08-04,2010-08-05,5350.0,1,73.96638599376638,119.12575488107996,-45.159368887313576,-3386.952666548518,TRIPWIRE FIRED: mark 119.1 >= stop 110.9,0.15,0.10789889746316651
2010-08-06,2010-08-11,2010-08-12,5450.0,2,65.3158420938903,33.61645592489174,31.699386168998558,4754.907925349784,planned exit (T-1),0.15,0.09744590563922154
2010-08-13,2010-08-18,2010-08-19,5450.0,1,68.98188738740737,37.34527408379836,31.63661330360901,2372.745997770676,planned exit (T-1),0.15,0.10218643323621285
2010-08-20,2010-08-25,2010-08-26,5550.0,1,79.86298776424246,86.57118203537567,-6.708194271133209,-503.1145703349907,planned exit (T-1),0.15,0.11640092866614019
2010-08-27,2010-09-01,2010-09-02,5400.0,1,88.08430440651227,73.97182215760768,14.112482248904598,1058.4361686678449,planned exit (T-1),0.15,0.13100498682327155
2010-09-03,2010-09-08,2010-09-09,5500.0,1,86.21045014959782,109.2961120145219,-23.085661864924077,-1731.4246398693058,planned exit (T-1),0.15,0.12675418430519012
2010-09-09,2010-09-15,2010-09-16,5650.0,1,101.87734440128679,212.29519257460652,-110.41784817331973,-8281.33861299898,TRIPWIRE FIRED: mark 212.3 >= stop 152.8,0.15,0.1358283385375827
2010-09-17,2010-09-22,2010-09-23,5900.0,1,112.53969853164199,94.05836247524076,18.481336056401233,1386.1002042300925,planned exit (T-1),0.15,0.15507198941565645
2010-09-24,2010-09-29,2010-09-30,6000.0,1,115.4772115828805,38.30459842685059,77.17261315602991,5787.945986702243,planned exit (T-1),0.15,0.15347175910426447
2010-10-01,2010-10-06,2010-10-07,6150.0,1,112.20724762371447,49.32348277548408,62.883764848230385,4716.282363617279,planned exit (T-1),0.15,0.14836486600779825
2010-10-08,2010-10-13,2010-10-14,6100.0,1,117.18189705482382,135.64027781499317,-18.458380760169348,-1384.378557012701,planned exit (T-1),0.15,0.1555672168903141
2010-12-24,2010-12-29,2010-12-30,6000.0,1,132.80516977291563,69.8446084293455,62.960561343570134,4722.04210076776,planned exit (T-1),0.1,0.17841598292075755
2010-12-31,2011-01-05,2011-01-06,6150.0,1,117.6322349750103,74.62155139699644,43.01068357801387,3225.80126835104,planned exit (T-1),0.1,0.1555079320052929
2011-01-07,2011-01-12,2011-01-13,5900.0,1,131.1732511150467,57.07766678908365,74.09558432596305,5557.168824447228,planned exit (T-1),0.1,0.18007958476351452
2011-04-29,2011-05-04,2011-05-05,5750.0,1,125.93358990678234,211.49137224892328,-85.55778234214094,-6416.83367566057,TRIPWIRE FIRED: mark 211.5 >= stop 188.9,0.1,0.1778206683792481
2011-05-20,2011-05-25,2011-05-26,5500.0,1,111.7422679165702,149.82444417756588,-38.08217626099568,-2856.163219574676,planned exit (T-1),0.1,0.16520692448873467
