sell_date,buy_date,expiry_date,S_sell,S_buy,strike,rv21_sell,rv21_buy,prem_sell_pts,prem_buy_pts,pnl_pts,pnl_pct,abs_underlying_move_pct
2025-09-30,2025-10-06,2025-10-07,24836.30078125,25108.30078125,24850,0.07410509967808333,0.07617760223603125,212.87083809695105,265.373252920519,-52.50241482356796,-0.0021139385968140757,1.0951711464428193
2025-10-08,2025-10-13,2025-10-14,25181.80078125,25145.5,25200,0.07795361506362436,0.07811894219800868,226.94907545107708,106.30795462123933,120.64112082983775,0.004790805942665758,-0.14415482659615453
2025-10-14,2025-10-19,2025-10-20,25323.55078125,25843.150390625,25300,0.08142170773951826,0.08710507704115576,241.16043329560307,549.176401837005,-308.0159685414019,-0.012163221943166923,2.051843415891419
2025-10-22,2025-10-27,2025-10-28,25891.400390625,25936.19921875,25900,0.08272911419123799,0.07857660767219395,247.8707499539869,107.88082831477914,139.98992163920775,0.005406811509890234,0.1730258983643873
2025-10-28,2025-11-02,2025-11-03,26053.900390625,25763.349609375,26050,0.06689431233436587,0.07418034168620306,202.66759712968997,281.29223117217674,-78.62463404248678,-0.0030177682751400385,-1.1151911110957813
2025-11-05,2025-11-10,2025-11-11,25509.69921875,25694.94921875,25500,0.07784582629887228,0.07708387821415756,231.01184999375982,206.56338811969908,24.44846187406074,0.0009583986727719143,0.726194371840494
2025-11-12,2025-11-17,2025-11-18,25879.150390625,25910.05078125,25900,0.07833951571236594,0.06897090985357343,234.3692920309495,90.722668787168,143.6466232437815,0.005550669982420251,0.1194026471448284
2025-11-19,2025-11-24,2025-11-25,26192.150390625,25884.80078125,26200,0.06963664873358621,0.07322172455517628,211.22273791687257,309.34565947323165,-98.12292155635907,-0.0037462720736163905,-1.1734416792483326
2025-11-26,2025-12-01,2025-12-02,26215.55078125,26032.19921875,26200,0.08150856067675494,0.07567800954799836,248.93781241109173,172.95102458656265,75.98678782452907,0.0028985386749484842,-0.6994000012814472
2025-12-03,2025-12-08,2025-12-09,26033.75,25839.650390625,26050,0.07188456794077877,0.08149107418346675,216.41260742597296,211.38499785303543,5.027609572937536,0.00019311891575118974,-0.7455691530225184
2025-12-10,2025-12-15,2025-12-16,25898.55078125,25860.099609375,25900,0.0794031562691614,0.0837149318128253,238.34145435705068,112.19193639469086,126.14951796235982,0.004870910307988715,-0.1484684305302464
2025-12-17,2025-12-22,2025-12-23,25815.55078125,26177.150390625,25800,0.08020183408706794,0.08241777857162245,241.3006924220972,383.4712720437128,-142.17057962161562,-0.005507168172637828,1.4007046080056318
2025-12-23,2025-12-29,2025-12-30,26142.099609375,25938.849609375,26150,0.08181568203672865,0.07176238267635049,247.54469181481545,208.82101268238807,38.72367913242738,0.001481276550508606,-0.7774815452356032
2025-12-31,2026-01-05,2026-01-06,26146.55078125,26178.69921875,26150,0.07407408478627427,0.07613919420185052,224.45781401797103,103.96971252916774,120.4881014888033,0.004608183408084814,0.12295479342174787
2026-01-07,2026-01-12,2026-01-13,25876.849609375,25732.30078125,25900,0.07680737933464067,0.07676505888696378,229.75926719460767,173.04315863755392,56.71610855705376,0.0021917702275668794,-0.558602883685777
2026-01-13,2026-01-19,2026-01-20,25665.599609375,25232.5,25650,0.07708241356480984,0.08868398920251619,230.75162987672957,411.5502543685641,-180.79862449183452,-0.007044395114221034,-1.6874712298433847
2026-01-20,2026-01-26,2026-01-27,25157.5,25175.400390625,25150,0.08521125859594983,0.08958809053998931,248.93054803030282,116.04774210753385,132.88280592276897,0.005282035413803795,0.07115329673059723
