variant,n,win_rate_pct,mean_pnl_pct,median_pnl_pct,stdev_pnl_pct,worst_pnl_pct,best_pnl_pct,es5_pct,cum_multiple,implied_cagr_pct,annualised_sharpe
thursday-era/theta-harvest,914,59.40919037199125,-0.008824300997897527,0.24670984506366456,1.2420767267485608,-13.24013167893774,4.495601312984351,-1.8515038432836164,0.8581944435261466,-0.86625662657005,-0.051231085862682504
thursday-era/full-week,914,57.98687089715536,-0.05536559223061402,0.29675319470055117,1.8678098855590934,-15.684920474398368,7.491318484663553,-3.0544118690910027,0.5120949486329015,-3.735947228312453,-0.21375139218106878
thursday-era/theta-harvest+15%VRP,914,67.28665207877462,0.24917832264483697,0.43191179613835484,1.2897863867119834,-12.70000924950338,5.743399341549087,-1.5899069814212359,9.003468518766773,13.318033353301573,1.3931380084114544
tuesday-era/theta-harvest,17,52.94117647058824,-0.08889588098121487,0.025016221473915416,0.5142131781642331,-1.3371940091267602,0.43696371828636843,-0.9228632511745716,0.9847853424067073,-4.581396592286124,-1.2466372728897457
tuesday-era/full-week,16,62.5,0.03440099457788309,0.3460229960231644,0.6787891758176293,-1.1329085602796467,0.7392107816034962,-1.0507026237193273,1.0051703339440905,1.690153611448908,0.36545824328477683
tuesday-era/theta-harvest+15%VRP,17,64.70588235294117,0.02729267900473149,0.14812765505086062,0.5162678871144439,-1.2163221943166924,0.5550669982420251,-0.8068160480010211,1.0044351728974752,1.362844724572998,0.3812174107762192
