sell_date,buy_date,expiry_date,S_sell,S_buy,strike,rv21_sell,rv21_buy,prem_sell_pts,prem_buy_pts,pnl_pts,pnl_pct,abs_underlying_move_pct
2008-02-22,2008-02-27,2008-02-28,5110.75,5268.4,5100,0.46148253916945353,0.3961369453933798,237.0199937121547,181.10846863013467,55.911525082020034,0.010939984362768681,3.08467446069558
2008-02-28,2008-03-04,2008-03-05,5285.1,4864.25,5300,0.38837391695742707,0.39987402448094816,206.65645764573674,434.5107143830809,-227.85425673734414,-0.04311257246548677,-7.96295245123082
2008-03-07,2008-03-12,2008-03-13,4771.6,4872.0,4750,0.4039548475942818,0.3484182352299621,194.33248028820208,135.81872827173174,58.513752016470335,0.012262920617082389,2.1041160197837083
2008-03-13,2008-03-18,2008-03-19,4623.6,4533.0,4600,0.3930423561413871,0.37318166359761057,183.47402700702514,101.29475176495612,82.17927524206902,0.01777387214336643,-1.9595120685180434
2008-03-19,2008-03-26,2008-03-27,4573.95,4828.85,4550,0.37746695246283773,0.4309399579347338,174.47231842374458,281.17711895252796,-106.70480052878338,-0.023328807820108086,5.572863717355903
2008-03-28,2008-04-02,2008-04-03,4942.0,4754.2,4950,0.4323611517860746,0.4502805583067418,214.8534388940784,204.3939245967195,10.459514297358908,0.0021164537226545745,-3.800080938891137
2008-04-04,2008-04-09,2008-04-10,4647.0,4747.05,4650,0.4226914518536071,0.4158396719275497,197.40364216151693,127.86441316753417,69.53922899398276,0.014964327306645741,2.1530019367333786
2008-04-10,2008-04-16,2008-04-17,4733.0,4887.3,4750,0.4152987808176299,0.3750507071313403,198.07917847123463,150.78329229282554,47.29588617840909,0.009992792347012273,3.260088738643563
2008-04-17,2008-04-23,2008-04-24,4958.4,5022.8,4950,0.36798202173293576,0.3139333701260823,183.45599274302594,99.82907200404225,83.6269207389837,0.016865706828610782,1.2988060664730572
2008-04-24,2008-04-29,2008-04-30,4999.85,5195.5,5000,0.3151963132994347,0.26544044549714196,158.37850019966982,197.29982824879153,-38.92132804912171,-0.0077844991447986855,3.9131173935218033
2008-05-02,2008-05-07,2008-05-08,5228.2,5135.5,5250,0.20047817438981044,0.21038033619380722,106.38006353539322,116.11795197648917,-9.737888441095947,-0.001862569993706428,-1.7730767759458255
2008-05-09,2008-05-14,2008-05-15,4982.6,5011.75,5000,0.19051913857220104,0.19140741824200116,96.07600888939214,49.255777974758075,46.82023091463407,0.009396746862006596,0.5850359250190618
2008-05-15,2008-05-21,2008-05-22,5115.25,5117.65,5100,0.19988406513312634,0.19013969838684455,103.82839514149646,51.119979149003484,52.708415992492974,0.010304172033134837,0.04691852793117235
2008-05-23,2008-05-28,2008-05-29,4946.55,4918.35,4950,0.20156228413874747,0.19444854938918799,100.21582567601308,54.220341645022245,45.99548403099084,0.009298497747114824,-0.5700943081541676
2008-05-30,2008-06-04,2008-06-05,4870.1,4585.6,4850,0.186870431681278,0.21177931421289817,93.37303510395668,263.2457668927189,-169.87273178876222,-0.03488074819588144,-5.841769162850863
2008-06-06,2008-06-11,2008-06-12,4627.8,4523.6,4650,0.22980710361403828,0.2470585192433971,108.04626426879759,127.57041590968609,-19.524151640888505,-0.0042188840574114055,-2.251609836207269
2008-06-13,2008-06-18,2008-06-19,4517.1,4582.4,4500,0.2415307345700417,0.24293550417806822,110.73716898117937,91.24748981192442,19.48967916925494,0.004314644167553284,1.4456177636093859
2008-06-20,2008-06-25,2008-06-26,4347.55,4252.65,4350,0.26210691087007904,0.2753337658230867,114.52987266268065,103.23389109220273,11.29598157047792,0.0025982407494975148,-2.1828386102517583
2008-06-27,2008-07-02,2008-07-03,4136.65,4093.35,4150,0.30302408068260894,0.37172953690452065,126.36562440906437,89.46147753788796,36.90414687117641,0.008921264035191862,-1.0467407201479428
