sell_date,buy_date,expiry_date,S_sell,S_buy,strike,rv21_sell,rv21_buy,prem_sell_pts,prem_buy_pts,pnl_pts,pnl_pct,abs_underlying_move_pct
2025-10-05,2025-10-13,2025-10-14,25077.650390625,25145.5,25100,0.07616706179783801,0.07811894219800868,254.37919140650774,107.06045518942119,147.31873621708655,0.005874503150110108,0.2705580798764373
2025-10-09,2025-10-19,2025-10-20,25285.349609375,25843.150390625,25300,0.07790208223214334,0.08710507704115576,262.7165116157594,549.176401837005,-286.4598902212456,-0.011329085602796466,2.2060236060298832
2025-10-16,2025-10-27,2025-10-28,25709.849609375,25936.19921875,25700,0.08630647827169659,0.07857660767219395,297.75780793575177,245.16934721992584,52.58846071582593,0.0020454596784825123,0.880400363339584
2025-10-23,2025-11-02,2025-11-03,25795.150390625,25763.349609375,25800,0.08409676903894693,0.07418034168620306,289.86082481593803,99.18029199760167,190.68053281833636,0.007392107816034962,-0.12328201529523408
2025-10-30,2025-11-10,2025-11-11,25722.099609375,25694.94921875,25700,0.07843394071173068,0.07708387821415756,272.93404915406245,99.55373528997734,173.3803138640851,0.006740519494796324,-0.10555277771766569
2025-11-09,2025-11-17,2025-11-18,25574.349609375,25910.05078125,25550,0.07754673734768926,0.06897090985357343,268.7716670270256,366.1645948900259,-97.3929278630003,-0.0038082269676683457,1.312647934366007
2025-11-16,2025-11-24,2025-11-25,26013.44921875,25884.80078125,26000,0.0745081357365199,0.07322172455517628,261.43320849324664,132.55669231710635,128.87651617614029,0.004954226373150414,-0.49454586517220234
2025-11-23,2025-12-01,2025-12-02,25959.5,26032.19921875,25950,0.07372005523201856,0.07567800954799836,257.70121529096104,122.9870887717043,134.71412651925675,0.005189396040727162,0.2800486093722965
2025-11-30,2025-12-08,2025-12-09,26175.75,25839.650390625,26200,0.07624216276243147,0.08149107418346675,265.73963569739317,354.4437888352787,-88.70415313788556,-0.0033887912719935648,-1.2840113821953492
2025-12-07,2025-12-15,2025-12-16,25960.55078125,25860.099609375,25950,0.07975885829560653,0.0837149318128253,278.3989693506428,128.841345631452,149.55762371919081,0.0057609572685649165,-0.3869377530601237
2025-12-14,2025-12-22,2025-12-23,26027.30078125,26177.150390625,26050,0.08181350730584082,0.08241777857162245,283.5333506200732,156.650253013373,126.88309760670018,0.004875000241980776,0.5757401070300538
2025-12-18,2025-12-29,2025-12-30,25966.400390625,25938.849609375,25950,0.08065927814459771,0.07176238267635049,282.2535311363972,93.6523752945086,188.6011558418886,0.00726327688877438,-0.10610165766351543
2025-12-28,2026-01-05,2026-01-06,25942.099609375,26178.69921875,25950,0.07175065852168507,0.07613919420185052,248.95848244034278,237.7945554433827,11.163926996960072,0.00043034014844834046,0.9120295309077431
2026-01-04,2026-01-12,2026-01-13,26250.30078125,25732.30078125,26250,0.07805773182767646,0.07676505888696378,274.5141916199591,511.4512773249769,-236.9370857050178,-0.009026071269791188,-1.973310722481303
2026-01-08,2026-01-19,2026-01-20,25683.30078125,25232.5,25700,0.08049569586859355,0.08868398920251619,275.57066072398266,461.4264904003419,-185.85582967635924,-0.007236446407700158,-1.7552291471005343
2026-01-15,2026-01-26,2026-01-27,25694.349609375,25175.400390625,25700,0.07434275323986222,0.08958809053998931,255.5615277349316,518.4919729817616,-262.93044524683,-0.010233006448658875,-2.0197017112301374
